,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_met,sy_pnum,pl_insol,pl_eqt
pl_rade,1.0,0.9314754625875492,-0.642059032389304,0.3066297412024265,0.38650237396790094,0.472808806308228,0.19157609521507074,0.23097217836051925,-0.25035206043177016,0.08159656381907505,0.12850945875739267
pl_bmasse,0.9314754625875492,1.0,-0.4237401788090705,0.3420688792036919,0.42927245286226867,0.526435265999879,0.14476618623535226,0.2319220457341048,-0.20639512728224627,0.0826815883779035,0.12593732357547044
pl_dens,-0.642059032389304,-0.4237401788090705,1.0,-0.08587200601302357,-0.09511263618685653,-0.12110389757542989,-0.1437733215182188,-0.16047847392593417,0.13324143054273846,-0.017693546445212947,-0.023569519771369216
pl_orbper,0.3066297412024265,0.3420688792036919,-0.08587200601302357,1.0,0.9904264390469143,0.35129554562365967,0.03829669591841908,-0.05460820616031462,0.12656090829175354,-0.7388034078887787,-0.7498672381661664
pl_orbsmax,0.38650237396790094,0.42927245286226867,-0.09511263618685653,0.9904264390469143,1.0,0.3417127692599181,0.10001727001600774,-0.027387273732274255,0.021756263768864182,-0.6493369311687538,-0.6303163913060985
pl_orbeccen,0.472808806308228,0.526435265999879,-0.12110389757542989,0.35129554562365967,0.3417127692599181,1.0,-0.11611426886754563,0.09694249014854053,0.0347846659325424,-0.06285399049483319,-0.01841443230015317
st_teff,0.19157609521507074,0.14476618623535226,-0.1437733215182188,0.03829669591841908,0.10001727001600774,-0.11611426886754563,1.0,0.13304031532108393,-0.0786259115499798,0.46866256525290845,0.4280568853502735
st_met,0.23097217836051925,0.2319220457341048,-0.16047847392593417,-0.05460820616031462,-0.027387273732274255,0.09694249014854053,0.13304031532108393,1.0,-0.039868265849081694,0.2105493908737293,0.20353777892955355
sy_pnum,-0.25035206043177016,-0.20639512728224627,0.13324143054273846,0.12656090829175354,0.021756263768864182,0.0347846659325424,-0.0786259115499798,-0.039868265849081694,1.0,-0.22104380634158344,-0.22584565519823893
pl_insol,0.08159656381907505,0.0826815883779035,-0.017693546445212947,-0.7388034078887787,-0.6493369311687538,-0.06285399049483319,0.46866256525290845,0.2105493908737293,-0.22104380634158344,1.0,0.9706525041928535
pl_eqt,0.12850945875739267,0.12593732357547044,-0.023569519771369216,-0.7498672381661664,-0.6303163913060985,-0.01841443230015317,0.4280568853502735,0.20353777892955355,-0.22584565519823893,0.9706525041928535,1.0
