column,role,description,non_null,missing,missing_pct,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,skew
pl_insol,insolacion,Insolation Flux [Earth Flux],4389,1884,30.033,418.91754859876966,1288.4281439903891,0.0003,0.4,2.5,24.1,99.6,375.55,1768.7571999999982,4354.49904,44900.0,18.713001720691306
pl_eqt,temperatura equilibrio,Equilibrium Temperature [K],4664,1609,25.65,913.8562499999999,462.54301143892695,34.0,208.63,331.15,569.0,822.0,1162.02,1788.699999999999,2307.029999999998,4050.0,1.0648084491044507
pl_orbeccen,excentricidad,Eccentricity,5210,1063,16.946,0.07906668042226488,0.15272130455035562,0.0,0.0,0.0,0.0,0.0,0.09,0.41,0.73,0.95,2.64469853961759
st_met,metalicidad estrella,Stellar Metallicity [dex],5609,664,10.585,0.016194187912283827,0.18827223331040027,-1.0,-0.54,-0.30689999999999995,-0.08,0.02,0.13,0.32,0.41,0.79,-0.5320201876372591
pl_orbsmax,semi eje mayor,Orbit Semi-Major Axis [au],5834,439,6.998,15.723426379991706,349.0437519708628,0.0044,0.013233,0.0248,0.0523,0.102085,0.30774999999999997,4.064899999999992,67.67000000000007,19000.0,39.3966299100788
pl_orbper,periodo orbital,Orbital Period [days],5929,344,5.484,72191.0714783111,5223221.989093188,0.090706293,0.64735272,1.5553854528000002,4.305,10.681572,38.021,1526.999999999989,13689.235948800211,402000000.0,76.89077321065459
st_teff,temperatura estrella,Stellar Effective Temperature [K],5959,314,5.006,5392.155797952676,1735.9332692033854,415.0,3099.58,3514.9,4895.985000000001,5542.0,5894.5,6340.0,7268.260000000004,57000.0,15.13863773020074
pl_dens,densidad planeta,Planet Density [g/cm**3],6123,150,2.391,4.854599990200882,34.234578908427125,0.0051,0.16,0.33010000000000006,1.3,2.53,4.54,9.74,27.45599999999995,2000.0,40.8626624064052
pl_rade,radio planeta,Planet Radius [Earth Radius],6212,61,0.972,5.7970364496619435,5.400698935467508,0.3098,0.7504492015,1.07165,1.84,2.84,11.89068213,14.3,18.260806080000027,87.20586985,1.768419141963631
pl_bmasse,masa planeta,Planet Mass or Mass*sin(i) [Earth Mass],6231,42,0.67,400.1912793964805,1135.0002792184227,0.02,0.38310000000000005,1.33,4.27,9.19,181.1631,2511.162243705,6477.290499999977,9534.85221,4.421822525236182
sy_pnum,numero planetas,Number of Planets,6273,0,0.0,1.7591264147935597,1.1494674907266476,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,8.0,1.8428759587126604
